"date","No subyacente","Subyacente","Inflación general"
2013-01-01,4.47,2.88,3.25
2012-12-01,5.74,2.9,3.57
2012-11-01,7.09,3.3,4.18
2012-10-01,8.07,3.58,4.6
2012-09-01,8.81,3.61,4.77
2012-08-01,7.58,3.7,4.57
2012-07-01,7.3,3.59,4.42
2012-06-01,7.26,3.5,4.34
2012-05-01,5.15,3.48,3.85
2012-04-01,3.49,3.39,3.41
2012-03-01,5.12,3.31,3.73
2012-02-01,5.53,3.37,3.87
2012-01-01,6.38,3.34,4.05
